Backgound,Minutes,ProteinAmount,Sample,Media
WT,0,1,YBR196C-A-mNG,CHX
WT,15,0.55534308,YBR196C-A-mNG,CHX
WT,30,0.16080712,YBR196C-A-mNG,CHX
WT,60,0.14404281,YBR196C-A-mNG,CHX
WT,90,0.03444227,YBR196C-A-mNG,CHX
WT,120,0.12977015,YBR196C-A-mNG,CHX
WT,0,1,YBR196C-A-mNG,CHX
WT,15,0.02324624,YBR196C-A-mNG,CHX
WT,30,0,YBR196C-A-mNG,CHX
WT,60,0,YBR196C-A-mNG,CHX
WT,90,0,YBR196C-A-mNG,CHX
WT,120,0,YBR196C-A-mNG,CHX
WT,0,1,YBR196C-A-mNG,CHX
WT,15,0.12760328,YBR196C-A-mNG,CHX
WT,30,0.00026305,YBR196C-A-mNG,CHX
WT,60,0,YBR196C-A-mNG,CHX
WT,90,0,YBR196C-A-mNG,CHX
WT,120,0,YBR196C-A-mNG,CHX
*doa10D*,0,1,YBR196C-A-mNG,CHX
*doa10D*,15,1.09366483,YBR196C-A-mNG,CHX
*doa10D*,30,1.37318841,YBR196C-A-mNG,CHX
*doa10D*,60,1.11178528,YBR196C-A-mNG,CHX
*doa10D*,90,1.1016482,YBR196C-A-mNG,CHX
*doa10D*,120,0.64500821,YBR196C-A-mNG,CHX
*doa10D*,0,1,YBR196C-A-mNG,CHX
*doa10D*,15,1.32089785,YBR196C-A-mNG,CHX
*doa10D*,30,1.20873486,YBR196C-A-mNG,CHX
*doa10D*,60,0.38989911,YBR196C-A-mNG,CHX
*doa10D*,90,0.20075689,YBR196C-A-mNG,CHX
*doa10D*,120,0.04966877,YBR196C-A-mNG,CHX
*doa10D*,0,1,YBR196C-A-mNG,CHX
*doa10D*,15,1.01994685,YBR196C-A-mNG,CHX
*doa10D*,30,0.63359171,YBR196C-A-mNG,CHX
*doa10D*,60,0.48030376,YBR196C-A-mNG,CHX
*doa10D*,90,0.48218652,YBR196C-A-mNG,CHX
*doa10D*,120,0.17571651,YBR196C-A-mNG,CHX