"","orf_name","log10p","fdr","lfc","contrast"
"1","NMD5",-8.1271171310247,2.70141582412225e-06,6.97597334914911,"YBR_vs_Control"
"2","GCN1",-6.61278865694513,5.88611380264026e-05,6.73073411808914,"YBR_vs_Control"
"3","LAA1",-5.39856347315597,0.000413120791854842,6.55804422218367,"YBR_vs_Control"
"4","YPQ1",-6.22533758275998,8.61848597246173e-05,6.41184563213197,"YBR_vs_Control"
"5","MON2",-4.51774496280453,0.00274728437666549,6.30511179854475,"YBR_vs_Control"
"6","SEC7",-4.33296151028928,0.00336338866252991,6.10994590258002,"YBR_vs_Control"
"7","KAP123",-9.09237772267498,5.85276172297155e-07,5.77445086393825,"YBR_vs_Control"
"8","DOP1",-2.92737063642847,0.0416603856058851,5.74298102776068,"YBR_vs_Control"
"9","KAP122",-4.34435715695937,0.00336338866252991,5.66679733438995,"YBR_vs_Control"
"10","ENA2",-2.67997771642365,0.058181846714055,5.54809187263398,"YBR_vs_Control"
"11","RPN1",-3.40199786337734,0.01793166926927,5.40911867176746,"YBR_vs_Control"
"12","ARE2",-2.78277248256607,0.0477557945286209,5.11414492700852,"YBR_vs_Control"
"13","STE24",-2.15269446154186,0.101876519727731,5.08485908740748,"YBR_vs_Control"
"14","ALG2",-2.38114357991136,0.0748830862105077,4.95794747759867,"YBR_vs_Control"
"15","RTN2",-2.64773485492841,0.0603448131803002,4.84998570703053,"YBR_vs_Control"
"16","NIP1",-2.36649346236575,0.0748830862105077,4.84064544627861,"YBR_vs_Control"
"17","ERG5",-1.84793424981652,0.160555187616784,4.79205732721328,"YBR_vs_Control"
"18","LOS1",-1.8371345058644,0.162065548609858,4.77342353039303,"YBR_vs_Control"
"19","ARO1",-1.67799141659623,0.201935299266012,4.752434133116,"YBR_vs_Control"
"20","STT3",-1.68443239797539,0.201935299266012,4.75133429831663,"YBR_vs_Control"
"21","SPF1",-1.59953108276269,0.220794831033471,4.73389782474375,"YBR_vs_Control"
"22","SXM1",-2.27602392544847,0.0891756297912,4.68981272988428,"YBR_vs_Control"
"23","SAR1",-2.37282805068708,0.0748830862105077,4.68723567615045,"YBR_vs_Control"
"24","BGL2",-2.36552795810789,0.0748830862105077,4.68458954960056,"YBR_vs_Control"
"25","PMR1",-1.59567354267712,0.220794831033471,4.65499927610216,"YBR_vs_Control"
"26","MTR10",-1.61625656665451,0.218973728155817,4.63458520356709,"YBR_vs_Control"
"27","NUP188",-1.63127100033801,0.216956648409246,4.50963167562647,"YBR_vs_Control"
"28","GRX7",-2.05740588074238,0.116058185881699,4.50310699420051,"YBR_vs_Control"
"29","CCC1",-1.89848003434839,0.147525414094715,4.49310504680589,"YBR_vs_Control"
"30","FCY2",-1.23632141511053,0.369055879362542,4.41676314032875,"YBR_vs_Control"
"31","HLJ1",-1.34478021608337,0.311723146308111,4.31170094766933,"YBR_vs_Control"
"32","SMF3",-1.70229005272002,0.198264800370461,4.28855729964049,"YBR_vs_Control"
"33","TOM40",-1.32926367530573,0.317023249509298,4.26916660783704,"YBR_vs_Control"
"34","YJR015W",-1.06420636259172,0.446236285874377,4.18740679640599,"YBR_vs_Control"
"35","MKT1",-2.4974680521493,0.0696859434862032,4.15889261249937,"YBR_vs_Control"
"36","GEA1",-1.1167629927576,0.439142053442813,4.10155465437161,"YBR_vs_Control"
"37","ALG9",-1.15507447246573,0.415915776495164,4.0380663332901,"YBR_vs_Control"
"38","ZRC1",-2.16677820838395,0.101876519727731,3.87180829458158,"YBR_vs_Control"
"39","RPT5",-3.42392086646176,0.01793166926927,3.62328391777641,"YBR_vs_Control"
"40","HMG1",-5.72947507468629,0.000224963593730067,3.44569872326795,"YBR_vs_Control"
"41","CCT3",-4.15260187200069,0.00424576006825253,3.39719163798503,"YBR_vs_Control"
"42","PRO3",-2.37519520404265,0.0748830862105077,3.39313304664678,"YBR_vs_Control"
"43","ERG1",-2.23244156037287,0.0956929387550283,3.37788510887899,"YBR_vs_Control"
"44","MYO2",-1.7861890994771,0.169219897130805,3.14722990753541,"YBR_vs_Control"
"45","CHO2",-4.22035939823878,0.00396265700490562,3.11677929743593,"YBR_vs_Control"
"46","TCP1",-2.53026673957616,0.0696859434862032,2.95309449204117,"YBR_vs_Control"
"47","ELO2",-1.40379321556767,0.291554181794858,2.95298724236336,"YBR_vs_Control"
"48","PUP2",-1.15437334120978,0.415915776495164,2.88094505172019,"YBR_vs_Control"
"49","POM33",-2.90639496630157,0.0416603856058851,2.8585296173524,"YBR_vs_Control"
"50","ENV9",-1.29937634400822,0.336463893891001,2.75320373164902,"YBR_vs_Control"
"51","CDC39",-2.04171696767148,0.117444740196392,2.720617213481,"YBR_vs_Control"
"52","GNP1",-2.83486753632401,0.0460408352575495,2.67847981378558,"YBR_vs_Control"
"53","DPL1",-1.55938865389005,0.234354856459581,2.59595832904529,"YBR_vs_Control"
"54","SEC26",-2.56011935846109,0.0696859434862032,2.55399373316696,"YBR_vs_Control"
"55","THS1",-1.08821324545352,0.446236285874377,2.55095284352314,"YBR_vs_Control"
"56","ADE5,7",-2.05470009892627,0.116058185881699,2.52041556928856,"YBR_vs_Control"
"57","ALG5",-2.22111573968627,0.0956929387550283,2.40257139872391,"YBR_vs_Control"
"58","CCT5",-1.23194859745826,0.369055879362542,2.33308863506114,"YBR_vs_Control"
"59","RPN2",-2.15281794696841,0.101876519727731,2.2481800229087,"YBR_vs_Control"
"60","URA7",-1.46217280028266,0.27150506668053,2.19603380796123,"YBR_vs_Control"
"61","ACC1",-1.09533224438851,0.446236285874377,2.1123642278732,"YBR_vs_Control"
"62","RPT2",-2.08360649731309,0.112682428779224,2.06058608653134,"YBR_vs_Control"
"63","YMC1",-1.81819473661927,0.164599721362201,1.89518817634257,"YBR_vs_Control"
"64","MIR1",-6.34910167894455,8.10171377447548e-05,1.88609183356752,"YBR_vs_Control"
"65","TUF1",-1.05474362767826,0.446236285874377,1.79428430405964,"YBR_vs_Control"
"66","HFD1",-2.15605780349916,0.101876519727731,1.75658036141896,"YBR_vs_Control"
"67","GSF2",-1.9389587667663,0.138876431655834,1.73843478931105,"YBR_vs_Control"
"68","VOA1",-1.05626613994326,0.446236285874377,1.68081681534021,"YBR_vs_Control"
"69","ERG4",-1.07650941354955,0.446236285874377,1.6682765378852,"YBR_vs_Control"
"70","SLC1",-1.55536615726059,0.234354856459581,1.65642370293805,"YBR_vs_Control"
"71","NPA3",-1.41519374183334,0.291144519099273,1.59178024662043,"YBR_vs_Control"
"72","CDC48",-2.39664598583172,0.0748830862105077,1.57355559052568,"YBR_vs_Control"
"73","HOC1",-1.38110768950905,0.296876990888282,1.52325642747254,"YBR_vs_Control"
"74","CCT4",-0.974470738113572,0.489066792868497,1.42614862298256,"YBR_vs_Control"
"75","OLE1",-1.01875557287963,0.453510005692104,1.41235500535443,"YBR_vs_Control"
"76","URA2",-1.41634454595111,0.291144519099273,1.38766242876249,"YBR_vs_Control"
"77","VMA2",-3.03512050247217,0.0351450740555322,1.26196300718045,"YBR_vs_Control"
"78","RPC40",-0.962636682526793,0.494382237688122,1.25228510168003,"YBR_vs_Control"
"79","PHO84",-1.97914088228871,0.128749535911833,1.0857330194193,"YBR_vs_Control"
"80","RNR2",-1.3356453447615,0.315346021497411,1.07674578095757,"YBR_vs_Control"
"81","YDJ1",-1.10498302930944,0.446236285874377,0.986306115068423,"YBR_vs_Control"
"82","TUB2",-1.66160832495508,0.204946032847367,0.901230414016503,"YBR_vs_Control"
"83","RPT1",-1.05643345224681,0.446236285874377,0.871717427400741,"YBR_vs_Control"
"84","PSA1",-1.15042656403666,0.416300459953196,0.790474920054786,"YBR_vs_Control"
"85","ATP2",-1.0575345388586,0.446236285874377,0.51149941273694,"YBR_vs_Control"
